epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,13090.4,0.98951,1.38862,0.4857,0.95398,0,0.90959,0.86681,0.90539,0.59436,0.90877,0.86723,0.90249,0.57317,1.27606,2.01291,0.55742,1.13401,0,0.000396262,0.000396262,0.000396262
75,13251.6,0.9883,1.37387,0.48451,0.95095,0,0.90697,0.85912,0.89716,0.58877,0.90421,0.85779,0.89213,0.56614,1.28653,2.02711,0.5712,1.13956,0,0.000382115,0.000382115,0.000382115
76,13362.1,0.98045,1.38971,0.48257,0.94521,0,0.90257,0.87184,0.89709,0.59146,0.90675,0.87585,0.89567,0.56633,1.26124,2.02047,0.56141,1.13215,0,0.000367967,0.000367967,0.000367967
77,13565.1,0.97987,1.38694,0.47813,0.94828,0,0.91508,0.84556,0.90006,0.59378,0.90113,0.85765,0.89438,0.57115,1.26949,2.0218,0.56521,1.13526,0,0.00035382,0.00035382,0.00035382
78,13893.7,0.9746,1.36616,0.47351,0.94353,0,0.91158,0.86509,0.89896,0.59247,0.91313,0.86708,0.894,0.57268,1.26698,2.01497,0.55572,1.13087,0,0.000339673,0.000339673,0.000339673
79,14057.8,0.97516,1.39554,0.48405,0.94304,0,0.89438,0.87254,0.89587,0.59511,0.90795,0.88083,0.90149,0.57119,1.27061,2.01768,0.55375,1.14059,0,0.000325526,0.000325526,0.000325526
80,14235.2,0.96067,1.35972,0.46831,0.93979,0,0.89551,0.87167,0.89096,0.59791,0.91569,0.87016,0.89737,0.5716,1.26954,2.05,0.55241,1.13824,0,0.000311379,0.000311379,0.000311379
81,14342.5,0.96329,1.35546,0.465,0.94236,0,0.91207,0.86567,0.89763,0.5975,0.91516,0.86868,0.89264,0.57065,1.27467,2.02478,0.54246,1.1407,0,0.000297232,0.000297232,0.000297232
82,14546.4,0.97076,1.36236,0.46786,0.94615,0,0.89979,0.86725,0.89572,0.59759,0.89854,0.86702,0.89435,0.57092,1.26156,2.02949,0.5483,1.13919,0,0.000283085,0.000283085,0.000283085
83,14815.9,0.96602,1.35011,0.46542,0.93642,0,0.89092,0.87039,0.89299,0.59561,0.89487,0.87469,0.89054,0.56809,1.26213,2.0368,0.54848,1.13865,0,0.000268938,0.000268938,0.000268938
84,14982.1,0.95495,1.33999,0.45935,0.93538,0,0.8873,0.87225,0.89334,0.59761,0.89409,0.88008,0.89729,0.57207,1.26469,2.03971,0.54654,1.13596,0,0.000254791,0.000254791,0.000254791
85,15089.4,0.94537,1.3466,0.45055,0.93316,0,0.91476,0.85673,0.8942,0.5931,0.91225,0.85833,0.8948,0.56781,1.26302,2.01582,0.55453,1.13472,0,0.000240644,0.000240644,0.000240644
86,15196.1,0.95725,1.35315,0.46517,0.93845,0,0.90528,0.86385,0.89165,0.59424,0.89649,0.87851,0.89584,0.57346,1.26062,2.03852,0.5413,1.13607,0,0.000226497,0.000226497,0.000226497
87,15597.7,0.94699,1.34254,0.45714,0.94245,0,0.90422,0.86314,0.89421,0.59633,0.90562,0.87147,0.90037,0.57671,1.26845,2.03798,0.5403,1.13991,0,0.000212349,0.000212349,0.000212349
88,15709.7,0.94313,1.33703,0.45492,0.93218,0,0.91719,0.85234,0.89513,0.59876,0.90005,0.86798,0.89748,0.57062,1.25492,2.03792,0.54364,1.13579,0,0.000198202,0.000198202,0.000198202
89,15941.5,0.94844,1.33757,0.45507,0.93766,0,0.89526,0.8736,0.89161,0.59718,0.89379,0.8776,0.89465,0.56988,1.26364,2.05227,0.55137,1.14302,0,0.000184055,0.000184055,0.000184055
90,16053.1,0.93641,1.32356,0.44047,0.93298,0,0.90422,0.85794,0.88877,0.596,0.90695,0.86691,0.89417,0.5713,1.26654,2.05832,0.54687,1.14663,0,0.000169908,0.000169908,0.000169908
91,16514.5,0.90988,1.39217,0.39514,0.95172,0,0.91338,0.85551,0.89509,0.60073,0.91214,0.86313,0.89652,0.57032,1.25745,2.05845,0.55039,1.13589,0,0.000155761,0.000155761,0.000155761
92,16626,0.88925,1.3875,0.3814,0.94416,0,0.91727,0.84967,0.89175,0.59643,0.90003,0.87315,0.89334,0.56701,1.2572,2.04394,0.54904,1.14006,0,0.000141614,0.000141614,0.000141614
93,16778.9,0.88109,1.35199,0.37688,0.94518,0,0.89703,0.87553,0.89483,0.59848,0.9005,0.87726,0.89576,0.57245,1.25426,2.03456,0.54092,1.13853,0,0.000127467,0.000127467,0.000127467
94,17163.6,0.88244,1.36111,0.37618,0.93676,0,0.90201,0.86377,0.89094,0.59899,0.90586,0.87022,0.89351,0.56873,1.25595,2.05266,0.539,1.14729,0,0.00011332,0.00011332,0.00011332
95,17335.6,0.87207,1.35267,0.36818,0.93261,0,0.89874,0.87006,0.89438,0.59833,0.90601,0.87766,0.89924,0.57079,1.26291,2.05797,0.53892,1.15028,0,9.91726e-05,9.91726e-05,9.91726e-05
96,17822.2,0.85546,1.33409,0.36279,0.92683,0,0.90365,0.86857,0.8932,0.59724,0.9106,0.87609,0.89905,0.57112,1.27352,2.07272,0.5387,1.1564,0,8.50255e-05,8.50255e-05,8.50255e-05
97,18155.4,0.86405,1.33825,0.36369,0.93001,0,0.89748,0.86546,0.89055,0.59524,0.90741,0.87546,0.89914,0.57082,1.27047,2.07184,0.54986,1.15381,0,7.08784e-05,7.08784e-05,7.08784e-05
98,18267.5,0.85193,1.32456,0.36086,0.92888,0,0.89753,0.86372,0.88835,0.5962,0.91186,0.87046,0.89668,0.57038,1.26918,2.086,0.54628,1.15463,0,5.67313e-05,5.67313e-05,5.67313e-05
99,18505.2,0.84789,1.33479,0.35855,0.92386,0,0.90202,0.86434,0.88953,0.59438,0.90793,0.87709,0.89468,0.56941,1.27447,2.08324,0.54415,1.15853,0,4.25842e-05,4.25842e-05,4.25842e-05
100,18616.7,0.8511,1.32828,0.35802,0.92942,0,0.90399,0.86501,0.89172,0.59449,0.91284,0.87389,0.89532,0.57113,1.27756,2.08473,0.5441,1.16102,0,2.84371e-05,2.84371e-05,2.84371e-05
